Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","22pF","C_0402_1005Metric",136.357800,-49.443800,90.000000,top
"C2","100nF","C_0402_1005Metric",139.316400,-69.697600,-90.000000,top
"C3","100nF","C_0402_1005Metric",131.978400,-59.131200,180.000000,top
"C4","100nF","C_0402_1005Metric",150.266400,-60.756800,-90.000000,top
"C5","100nF","C_0402_1005Metric",148.285200,-61.366400,90.000000,top
"C6","100nF","C_0402_1005Metric",138.480800,-52.578000,90.000000,top
"C7","22pF","C_0402_1005Metric",143.154400,-48.717200,90.000000,top
"C8","100nF","C_0402_1005Metric",148.183600,-64.617600,90.000000,top
"C9","100nF","C_0402_1005Metric",142.544800,-53.238400,90.000000,top
"C10","100nF","C_0402_1005Metric",140.789600,-70.104000,180.000000,top
"C11","100nF","C_0402_1005Metric",165.072000,-43.891200,180.000000,top
"C12","10uF","C_0805_2012Metric",169.113200,-46.177200,-90.000000,top
"C13","22uF","C_0805_2012Metric",171.145200,-46.177200,-90.000000,top
"C14","1uF","C_0603_1608Metric",171.344402,-80.664165,0.000000,top
"C15","22uF","C_0805_2012Metric",173.177200,-46.177200,-90.000000,top
"C16","22uF","C_0805_2012Metric",163.220400,-47.244000,180.000000,top
"C17","22uF","C_0805_2012Metric",163.220400,-49.276000,180.000000,top
"C18","100nF","C_0402_1005Metric",162.864800,-56.540400,180.000000,top
"C19","10uF","C_0805_2012Metric",159.715200,-49.276000,0.000000,top
"C20","4.7uF","C_0603_1608Metric",174.138402,-71.951965,0.000000,top
"C21","100nF","C_0402_1005Metric",164.492400,-41.046400,180.000000,top
"C22","10nF","C_0402_1005Metric",155.244800,-45.212000,90.000000,top
"C23","100nF","C_0402_1005Metric",157.683200,-47.142400,180.000000,top
"C24","22uF","C_0805_2012Metric",129.209800,-79.034600,90.000000,top
"C25","10uF","C_0805_2012Metric",157.480000,-43.637200,180.000000,top
"C26","10nF","C_0402_1005Metric",127.327600,-45.481200,0.000000,top
"C27","22uF","C_0805_2012Metric",176.784000,-49.326800,180.000000,top
"C28","10nF","C_0402_1005Metric",127.635000,-79.504600,90.000000,top
"C29","22uF","C_0805_2012Metric",127.812800,-47.056000,0.000000,top
"C30","10nF","C_0402_1005Metric",177.226000,-47.650400,180.000000,top
"C31","100nF","C_0402_1005Metric",161.514602,-64.839965,90.000000,top
"C32","4.7uF","C_0603_1608Metric",154.148602,-67.481565,135.000000,top
"C33","100nF","C_0402_1005Metric",153.513602,-68.624565,135.000000,top
"C34","100nF","C_0402_1005Metric",155.367802,-66.897365,135.000000,top
"C35","100nF","C_0402_1005Metric",161.082802,-68.573765,135.000000,top
"C36","100nF","C_0402_1005Metric",152.802402,-69.335765,135.000000,top
"D1","NSR0240P2T5G","SODFL1006X40N",169.287002,-80.130765,90.000000,top
"FB1","BLM21PG300SN1D","R_0805_2012Metric",165.963600,-46.126400,-90.000000,top
"FB2","BLM21PG300SN1D","R_0805_2012Metric",157.480000,-45.669200,0.000000,top
"FL1","ACM2012-361-2P-T002","ACM20121022PT001",152.958800,-48.000000,-90.000000,top
"IC1","R7FA4M3AF3CFM#AA0","QFP50P1200X1200X170-64N",140.512800,-61.366400,-90.000000,top
"IC2","TPS92360DCKR","SOT65P210X110-5N",174.011402,-74.695165,90.000000,top
"IC3","AP62300TWU-7","SOT95P280X100-6N",160.934400,-53.187600,-90.000000,top
"IC4","FT811Q-T","QFN50P700X700X90-49N-D",158.309440,-73.724485,-135.000000,top
"J1","Conn_02x14_Odd_Even","PinHeader_2x14_P2.54mm_Vertical_SMD",116.840000,-63.296800,180.000000,top
"J2","Conn_02x14_Odd_Even","PinHeader_2x14_P2.54mm_Vertical_SMD",185.420000,-63.296800,0.000000,top
"J3","USB4110-GF-A","USB4110GFA",152.958800,-35.260400,180.000000,top
