Comment,Designator,Footprint,LCSC
"22pF","C1,C7","Capacitor_SMD:C_0402_1005Metric","C1555"
"10uF","C12,C19,C25","Capacitor_SMD:C_0805_2012Metric","C15850"
"22uF","C13,C15,C16,C17,C24,C27,C29","Capacitor_SMD:C_0805_2012Metric","C45783"
"1uF","C14","Capacitor_SMD:C_0603_1608Metric","C15849"
"100nF","C2,C3,C4,C5,C6,C8,C9,C10,C11,C18,C21,C23,C31,C33,C34,C35,C36","Capacitor_SMD:C_0402_1005Metric","C1525"
"4.7uF","C20,C32","Capacitor_SMD:C_0603_1608Metric","C19666"
"10nF","C22,C26,C28,C30","Capacitor_SMD:C_0402_1005Metric","C15195"
"NSR0240P2T5G","D1","SamacSys_Parts:SODFL1006X40N","C896425"
"BLM21PG300SN1D","FB1,FB2","Resistor_SMD:R_0805_2012Metric","C16903"
"ACM2012-361-2P-T002","FL1","SamacSys_Parts:ACM20121022PT001","C87126"
"R7FA4M3AF3CFM#AA0","IC1","SamacSys_Parts:QFP50P1200X1200X170-64N","C3230355"
"TPS92360DCKR","IC2","SOT65P210X110-5N","C2928788"
"AP62300TWU-7","IC3","SOT95P280X100-6N","C1883519"
"FT811Q-T","IC4","SamacSys_Parts:QFN50P700X700X90-49N-D","C3823896"
"Conn_02x14_Odd_Even","J1,J2","Connector_PinHeader_2.54mm:PinHeader_2x14_P2.54mm_Vertical_SMD","DNM"
"USB4110-GF-A","J3","USB4110GFA","C5143397"
"4-1734839-0","J4","SamacSys_Parts:4-1734839-0","C590939"
"ASPI-0403S-1R5M-T","L1","SamacSys_Parts:ASPI0403S332MT","C187216"
"3.3uH","L2","VLS5045EX-3R3N:IND_VLS5045EX-3R3N","C307875"
"DNM","R1,R2,R9,R10,R11,R12,R13,R23,R50","Resistor_SMD:R_0402_1005Metric","DNM"
"5.1k","R14,R18","Resistor_SMD:R_0402_1005Metric","C258132"
"22R","R15","Resistor_SMD:R_0402_1005Metric","C25092"
"33.2k","R16","Resistor_SMD:R_0402_1005Metric","C400623"
"33R","R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48","Resistor_SMD:R_0402_1005Metric","C25105"
"0R","R3,R7,R22,R37","Resistor_SMD:R_0402_1005Metric","C174180"
"10k","R4,R6,R8,R17,R21,R24,R49","Resistor_SMD:R_0402_1005Metric","C140214"
"1k","R5,R19,R20","Resistor_SMD:R_0402_1005Metric","C279981"
"SSSS211603","SW1,SW2","SamacSys_Parts:SSSS211603","C125040"
"USBLC6-2SC6","U1","Package_TO_SOT_SMD:SOT-23-6","C5250994"
"FL2400022","Y1","SamacSys_Parts:FL2400022","C1985606"
"X1G004171001800","Y2","SamacSys_Parts:X1G004171001800","C255991"
