Pin#, PORT IO, Function, Direction
33,PA0,U0RX,
34,PA1,U0TX,
35,PA2,SSI0CLK,
36,PA3,SSI0FSS,
37,PA4,SSI0XDAT0,
38,PA5,SSI0XDAT1,
40,PA6, ,Input
41,PA7, ,Output
95,PB0,USB0ID,
96,PB1,USB0VBUS,
91,PB2,USB0STP,
92,PB3,USB0CLK,
121,PB4, ,
120,PB5, ,
100,PC0,TCK/SWCLK,
99,PC1,TMS/SWDIO,
98,PC2,TDI,
97,PC3,TDO/SWO,
25,PC4, ,
24,PC5, ,
23,PC6, ,
22,PC7, ,
1,PD0,SSI2XDAT1,
2,PD1,SSI2XDAT0,
3,PD2,SSI2FSS,
4,PD3,SSI2CLK,
125,PD4,U2RX,
126,PD5,U2TX,
127,PD6,USB0EPEN,
128,PD7,USB0PFLT,
15,PE0, ,
14,PE1, ,
13,PE2, ,
12,PE3, ,
123,PE4, ,
124,PE5, ,
42,PF0, ,
43,PF1, ,
44,PF2, ,
45,PF3, ,
46,PF4, ,
49,PG0,I2C1SCL,
50,PG1,I2C1SDA,
51,PG2,SSI2XDAT3,
52,PG3,SSI2XDAT2,
53,PG4, ,Output
54,PG5, ,
55,PG6, ,
56,PG7, ,
29,PH0, ,
30,PH1, ,
31,PH2, ,
32,PH3, ,
116,PJ0, ,Output
117,PJ1, ,Output
18,PK0, ,Output
19,PK1, ,Output
20,PK2, ,Output
21,PK3, ,Output
62,PK4, ,Output
61,PK5, ,Output
60,PK6, ,Output
59,PK7, ,Output
81,PL0,USB0D0,
82,PL1,USB0D1,
83,PL2,USB0D2,
84,PL3,USB0D3,
85,PL4,USB0D4,
86,PL5,USB0D5,
94,PL6,USB0DP,
93,PL7,USB0DM,
78,PM0, ,Input
77,PM1, ,Input
76,PM2, ,Input
75,PM3, ,Input
74,PM4, ,Input
73,PM5, ,Input
72,PM6, ,Input
71,PM7, ,Input
107,PN0, ,
108,PN1, ,
109,PN2, ,Output
110,PN3, ,Input
111,PN4,I2C2SDA,
112,PN5,I2C2SCL,
118,PP0, ,
119,PP1, ,
103,PP2,USB0NXT,
104,PP3,USB0DIR,
105,PP4,USB0D7,
106,PP5,USB0D6,
5,PQ0, ,
6,PQ1, ,
11,PQ2, ,
27,PQ3, ,
102,PQ4, ,
57,PQ5, ,
58,PQ6, ,
